error_rate,error_count,trials,rho,rho_t,theory_fail,n,q,k,m,t
0.466,233,500,0.9315068493150684,0.9315068493150684,0.5109238669012581,8,73,17,16,1
0.446,223,500,0.9863013698630136,0.9863013698630136,0.5346801549488154,8,73,18,16,1
0.474,237,500,1.0410958904109588,1.0410958904109588,0.5563981650774714,8,73,19,16,1
0.512,256,500,1.095890410958904,1.095890410958904,0.5763051520302641,8,73,20,16,1
0.488,244,500,1.1506849315068493,1.1506849315068493,0.5946007745407849,8,73,21,16,1
0.486,243,500,1.2054794520547945,1.2054794520547945,0.611459815837478,8,73,22,16,1
0.516,258,500,1.2602739726027397,1.2602739726027397,0.6270350795949424,8,73,23,16,1
0.0,0,500,0.05063291139240506,0.05063291139240506,1.1312640947949422e-33,8,79,1,16,1
0.0,0,500,0.10126582278481013,0.10126582278481013,1.4740505580824414e-09,8,79,2,16,1
0.002,1,500,0.1518987341772152,0.1518987341772152,5.5433349828937475e-05,8,79,3,16,1
0.01,5,500,0.20253164556962025,0.20253164556962025,0.0024979562366257806,8,79,4,16,1
0.016,8,500,0.25316455696202533,0.25316455696202533,0.01556875513481184,8,79,5,16,1
0.062,31,500,0.3037974683544304,0.3037974683544304,0.043828642177312326,8,79,6,16,1
0.12,60,500,0.35443037974683544,0.35443037974683544,0.08403034920458999,8,79,7,16,1
0.17,85,500,0.4050632911392405,0.4050632911392405,0.13058616159665962,8,79,8,16,1
0.214,107,500,0.45569620253164556,0.45569620253164556,0.17900747719611532,8,79,9,16,1
0.238,119,500,0.5063291139240507,0.5063291139240507,0.2264955537545631,8,79,10,16,1
0.312,156,500,0.5569620253164557,0.5569620253164557,0.2715557565803298,8,79,11,16,1
0.314,157,500,0.6075949367088608,0.6075949367088608,0.3135202521681105,8,79,12,16,1
0.368,184,500,0.6582278481012658,0.6582278481012658,0.3521976374558361,8,79,13,16,1
0.364,182,500,0.7088607594936709,0.7088607594936709,0.3876524174328567,8,79,14,16,1
0.414,207,500,0.759493670886076,0.759493670886076,0.4200754397163563,8,79,15,16,1
0.378,189,500,0.810126582278481,0.810126582278481,0.44971081768286825,8,79,16,16,1
0.458,229,500,0.8607594936708861,0.8607594936708861,0.47681615221216533,8,79,17,16,1
0.454,227,500,0.9113924050632911,0.9113924050632911,0.5016418566438723,8,79,18,16,1
0.482,241,500,0.9620253164556962,0.9620253164556962,0.5244212396158963,8,79,19,16,1
0.502,251,500,1.0126582278481013,1.0126582278481013,0.5453665320806387,8,79,20,16,1
0.478,239,500,1.0632911392405062,1.0632911392405062,0.5646681104441957,8,79,21,16,1
0.494,247,500,1.1139240506329113,1.1139240506329113,0.582495359680551,8,79,22,16,1
0.496,248,500,1.1645569620253164,1.1645569620253164,0.5989983041893747,8,79,23,16,1
0.466,233,500,1.2151898734177216,1.2151898734177216,0.614309525575464,8,79,24,16,1
0.0,0,500,0.04819277108433735,0.04819277108433735,5.425751196842606e-37,8,83,1,16,1
0.0,0,500,0.0963855421686747,0.0963855421686747,2.106564084235241e-10,8,83,2,16,1
0.0,0,500,0.14457831325301204,0.14457831325301204,2.279665675920133e-05,8,83,3,16,1
0.006,3,500,0.1927710843373494,0.1927710843373494,0.0014897027881418709,8,83,4,16,1
0.022,11,500,0.24096385542168675,0.24096385542168675,0.011042670437721516,8,83,5,16,1
0.04,20,500,0.2891566265060241,0.2891566265060241,0.03419302550051307,8,83,6,16,1
0.072,36,500,0.3373493975903614,0.3373493975903614,0.0694859808856223,8,83,7,16,1
0.112,56,500,0.3855421686746988,0.3855421686746988,0.11220924991688114,8,83,8,16,1
0.218,109,500,0.43373493975903615,0.43373493975903615,0.15799157888427795,8,83,9,16,1
0.234,117,500,0.4819277108433735,0.4819277108433735,0.20384507455258316,8,83,10,16,1
0.278,139,500,0.5301204819277109,0.5301204819277109,0.2480261011268301,8,83,11,16,1
0.316,158,500,0.5783132530120482,0.5783132530120482,0.2896480555670775,8,83,12,16,1
0.35,175,500,0.6265060240963856,0.6265060240963856,0.3283510622552297,8,83,13,16,1
0.37,185,500,0.6746987951807228,0.6746987951807228,0.3640772102714459,8,83,14,16,1
0.404,202,500,0.7228915662650602,0.7228915662650602,0.3969309121106819,8,83,15,16,1
0.434,217,500,0.7710843373493976,0.7710843373493976,0.4270961782475794,8,83,16,16,1
0.434,217,500,0.8192771084337349,0.8192771084337349,0.45478920343792384,8,83,17,16,1
0.446,223,500,0.8674698795180723,0.8674698795180723,0.48023208327499,8,83,18,16,1
0.486,243,500,0.9156626506024096,0.9156626506024096,0.5036389144338007,8,83,19,16,1
0.47,235,500,0.963855421686747,0.963855421686747,0.5252090369918367,8,83,20,16,1
0.478,239,500,1.0120481927710843,1.0120481927710843,0.5451243224781266,8,83,21,16,1
0.502,251,500,1.0602409638554218,1.0602409638554218,0.5635486939833048,8,83,22,16,1
0.486,243,500,1.108433734939759,1.108433734939759,0.5806288236815471,8,83,23,16,1
0.478,239,500,1.1566265060240963,1.1566265060240963,0.5964954002872,8,83,24,16,1
0.474,237,500,1.2048192771084338,1.2048192771084338,0.6112646218413387,8,83,25,16,1
0.0,0,500,0.0449438202247191,0.0449438202247191,2.8329556773935636e-42,8,89,1,16,1
0.0,0,500,0.0898876404494382,0.0898876404494382,9.582149552036773e-12,8,89,2,16,1
0.0,0,500,0.1348314606741573,0.1348314606741573,5.578593857435319e-06,8,89,3,16,1
0.002,1,500,0.1797752808988764,0.1797752808988764,0.0006584454947799704,8,89,4,16,1
0.01,5,500,0.2247191011235955,0.2247191011235955,0.006429032097844118,8,89,5,16,1
0.03,15,500,0.2696629213483146,0.2696629213483146,0.023154175736920666,8,89,6,16,1
0.08,40,500,0.3146067415730337,0.3146067415730337,0.051598364871285725,8,89,7,16,1
0.116,58,500,0.3595505617977528,0.3595505617977528,0.08853797345787022,8,89,8,16,1
0.14,70,500,0.4044943820224719,0.4044943820224719,0.13004594223264465,8,89,9,16,1
0.21,105,500,0.449438202247191,0.449438202247191,0.17303110272387168,8,89,10,16,1
0.206,103,500,0.4943820224719101,0.4943820224719101,0.21547053882980938,8,89,11,16,1
0.286,143,500,0.5393258426966292,0.5393258426966292,0.25619077438437987,8,89,12,16,1
0.298,149,500,0.5842696629213483,0.5842696629213483,0.2945930078254041,8,89,13,16,1
0.322,161,500,0.6292134831460674,0.6292134831460674,0.3304366366829964,8,89,14,16,1
0.392,196,500,0.6741573033707865,0.6741573033707865,0.36369204148887313,8,89,15,16,1
0.406,203,500,0.7191011235955056,0.7191011235955056,0.39444701167422747,8,89,16,16,1
0.43,215,500,0.7640449438202247,0.7640449438202247,0.42284950513077924,8,89,17,16,1
0.406,203,500,0.8089887640449438,0.8089887640449438,0.44907360426568255,8,89,18,16,1
0.442,221,500,0.8539325842696629,0.8539325842696629,0.4732998387344022,8,89,19,16,1
0.468,234,500,0.898876404494382,0.898876404494382,0.49570424635563326,8,89,20,16,1
0.472,236,500,0.9438202247191011,0.9438202247191011,0.5164526755511092,8,89,21,16,1
0.458,229,500,0.9887640449438202,0.9887640449438202,0.5356981858648444,8,89,22,16,1
0.474,237,500,1.0337078651685394,1.0337078651685394,0.5535802428814098,8,89,23,16,1
0.498,249,500,1.0786516853932584,1.0786516853932584,0.5702249194834756,8,89,24,16,1
0.502,251,500,1.1235955056179776,1.1235955056179776,0.585745630472678,8,89,25,16,1
0.508,254,500,1.1685393258426966,1.1685393258426966,0.6002441196928698,8,89,26,16,1
0.532,266,500,1.2134831460674158,1.2134831460674158,0.6138115357344682,8,89,27,16,1
0.0,0,500,0.041237113402061855,0.041237113402061855,6.953590775791977e-50,8,97,1,16,1
0.0,0,500,0.08247422680412371,0.08247422680412371,1.1276646776261407e-13,8,97,2,16,1
0.0,0,500,0.12371134020618557,0.12371134020618557,7.420946949412567e-07,8,97,3,16,1
0.002,1,500,0.16494845360824742,0.16494845360824742,0.00020521566019563402,8,97,4,16,1
0.006,3,500,0.20618556701030927,0.20618556701030927,0.00297793629120329,8,97,5,16,1
